type,code,name,addr,lat,lng
01,37851861,수성약국,경상북도 구미시 인동11안길 21 (인의동),36.1038532,128.4257186
01,41812263,한나약국,"경기도 시흥시 마유로 226 107호 (정왕동, 파인힐오피스텔)",37.3376863,126.728545
01,34800395,미래약국,대전광역시 중구 선화로 9 동성빌딩 1층 (용두동),36.3251105,127.4107733
01,31864040,늘사랑약국,경기도 부천시 소사로 801 (원종동),37.5276411,126.8044705
01,11821647,보림약국,서울특별시 동대문구 장한로 115 (장안동),37.5709433,127.0705533
01,12802310,용한약국,"서울특별시 강서구 허준로 47 상가동 105호 (가양동, 가양2단지아파트)",37.5704364,126.8472447
01,21832986,세신약국,부산광역시 서구 충무대로 246 (남부민동),35.092582,129.0243
01,39805191,이화약국,"제주특별자치도 제주시 임항로 191, 1층 (건입동, 제주항국제여객터미널)",33.5233473,126.5433964
01,31848273,온누리우진약국,"경기도 수원시 영통구 매영로 84 113호 (매탄동, 한국2차아파트상가)",37.2674117,127.0515297
01,41847890,우리온누리약국,경기도 안양시 동안구 동안로 128 1층 (호계동),37.3903483,126.9517838
01,37808460,주왕약국,경상북도 청송군 청송읍 금월로 267,36.4328404,129.0560602
01,37823019,건강샘약국,대구광역시 북구 학정로 439 칠곡메가타운 101동 3층 302일부호 (동천동),35.9439233,128.5633244
01,21841276,희망약국,부산광역시 사하구 서포로30번길 9 104호 (구평동),35.0823617,128.9860032
01,12856029,참한약국,서울특별시 강동구 구천면로 494 1층 (명일동),37.5490083,127.1530893
01,41826400,시티약국,경기도 구리시 갈매순환로 7 에이스프라자 (갈매동),37.6259722,127.1117332
01,37849646,진약국,대구광역시 서구 달서로 62 (비산동),35.8675134,128.57126
01,35821671,하나큰약국,전라북도 전주시 덕진구 조경단로 97 105호 (금암동),35.8429345,127.1386372
01,38833514,서울약국,"경상남도 김해시 번화1로80번길 5 101호 (대청동, 메카빌딩)",35.194715,128.8000135
01,21834466,시민약국,"부산광역시 연제구 시청로 34 (연산동,외1필지)",35.1819794,129.073809
01,37840967,유일약국,경상북도 포항시 남구 효성로 11 (효자동),36.0066719,129.3350225
01,11899271,하나로약국,서울특별시 송파구 마천로 264 흥일빌딩 1층 (거여동),37.4980924,127.1461657
01,41825365,우리들약국,"경기도 수원시 장안구 금당로 42 1층 101호 (조원동, 그린프라자)",37.3028786,127.0157728
01,37830279,다온약국,대구광역시 수성구 수성로 206 1층 (중동),35.8436537,128.6128995
01,38823527,남강약국,경상남도 진주시 촉석로201번길 5 (평안동),35.1960913,128.0836672
01,38838354,주상가성원약국,"경상남도 창원시 성산구 동산로 124 5층 512호 (상남동, 성원주상가)",35.2193191,128.6915303
01,41845269,대화약국,경기도 부천시 원종로 26 (원종동),37.5239658,126.8027732
01,41846699,가까운무궁화약국,"인천광역시 미추홀구 인주대로128번길 7-10, 1층 (용현동)",37.4559523,126.651612
01,38828821,서울약국,울산광역시 울주군 온산읍 덕남로 15,35.4330024,129.3113521
01,34833528,천안약국,"충청남도 천안시 동남구 충절로 535-4, (삼룡동)",36.7766654,127.178341
03,4118206383,무안농협하나로마트,전남 무안군 무안읍 성내리 173-4,34.9909465,126.4774519
01,31887945,경기약국,경기도 이천시 영창로 189 1층 104호 (창전동),37.2815032,127.443673
01,41833058,범계 수 한약국,"경기도 안양시 동안구 평촌대로 221, 센터프라자 604호 (호계동)",37.3911299,126.9553017
01,31853633,데이파크약국,"경기도 용인시 수지구 성복2로 51 (성복동, 데이파크B동 120호)",37.3134799,127.0787721
01,34804625,천수약국,대전광역시 서구 도산로 276 (가장동),36.3313969,127.3848137
01,12813681,신세계약국,서울특별시 용산구 장문로 94 (보광동),37.5260203,126.9999592
01,37806297,충효약국,경상북도 울진군 울진읍 연호로 12,36.9933965,129.4027141
01,31897410,편한약국,"경기도 군포시 번영로 502 507-1호 (금정동, 산본역사상가)",37.357605,126.9334185
01,11894881,삼호약국,"서울특별시 노원구 마들로 111 207, 208호 (월계동, 나상가)",37.6239862,127.0657785
01,34815015,보령당약국,대전광역시 대덕구 중리로76번길 1 (중리동),36.3658866,127.4252706
01,12866351,새수정온누리약국,서울특별시 광진구 용마산로 5 명클리닉 1층 101호 (중곡동),37.5542122,127.0882485
01,12818046,늘사랑온누리약국,서울특별시 금천구 금하로 816 (시흥동),37.4487957,126.919212
01,37831585,다솜약국,대구광역시 달서구 용산서로 14 (용산동),35.8577871,128.529111
01,31874649,조은약국,경기도 하남시 신장로 93 (신장동),37.5367768,127.2075361
01,21810699,지성약국,"부산광역시 영도구 상리로 1 110호 (동삼동, 주공아파트3단지 가동상가)",35.0864091,129.0682196
